DLPH,51.15,N/A,N/A,1416773
DAL,18.91,N/A,N/A,13262562
DNR,17.51,N/A,N/A,2820115
DB,42.32,N/A,N/A,759963
DVN,52.11,N/A,N/A,2865803
DV,31.05,N/A,N/A,522810
DO,69.06,N/A,N/A,756372
DRH,9.36,N/A,N/A,1989526
DKS,50.60,N/A,N/A,1621073
DLR,61.62,N/A,N/A,1219365
DTV,62.17,62.51,62.16,4141211
EDC,23.73,23.79,23.56,542964
FAZ,33.00,33.34,33.02,5519793
FAS,64.83,64.75,64.53,6238518
NUGT,6.19,6.22,6.17,35940840
SPXS,10.69,10.75,10.64,4606784
SPXL,42.27,42.33,35.79,3472776
TZA,31.30,30.46,30.36,14800998
TNA,47.91,49.20,49.15,9385422
DFS,48.00,N/A,N/A,3793069
DISCA,77.61,77.69,76.54,706021
DISH,42.66,42.91,42.82,4158733
DOLE,12.83,N/A,N/A,942836
DG,51.03,N/A,N/A,4291579
DLTR,50.90,51.64,51.48,1416289
D,57.14,N/A,N/A,2787283
DOV,78.49,N/A,N/A,1213912
DOW,32.41,N/A,N/A,5058356
DHI,21.40,N/A,N/A,6232257
DPS,46.21,N/A,N/A,1156396
DUK,67.90,N/A,N/A,2682414
DRE,15.69,N/A,N/A,1667944
DNKN,43.25,43.51,43.36,750876
ETFC,12.70,12.85,12.79,3619165
DANG,7.04,N/A,N/A,2270652
DD,52.32,N/A,N/A,4344602
EMN,70.36,N/A,N/A,1628000
ETN,65.76,N/A,N/A,3159134
EXG,9.34,N/A,N/A,781480
EBAY,52.33,53.00,52.91,8924227
ECL,85.53,N/A,N/A,1315081
EIX,48.23,N/A,N/A,2715494
EW,67.32,N/A,N/A,791448
ELN,14.20,N/A,N/A,3303812
EGO,6.28,N/A,N/A,5064041
EA,23.05,23.51,22.09,3600115
LLY,49.32,N/A,N/A,6987350
ERJ,37.16,N/A,N/A,832508
EMC,23.63,N/A,N/A,19941720
EMR,54.58,N/A,N/A,2750425
ECA,17.00,N/A,N/A,1878605
ENDP,36.79,37.70,37.58,1993769
CIG,9.09,N/A,N/A,2492652
XLE,78.87,78.86,78.31,11960623
ETP,50.75,N/A,N/A,1231425
EXXI,22.58,22.58,22.48,2273168
ERF,14.94,N/A,N/A,300376
ESV,58.49,N/A,N/A,1452249
ETR,69.94,N/A,N/A,1236705
EPD,62.43,N/A,N/A,1606861
EOG,133.79,N/A,N/A,1616297
EQT,79.80,N/A,N/A,1242256
EQR,58.36,N/A,N/A,2432593
ESPR,14.21,14.41,13.50,127183
EL,66.46,N/A,N/A,1224234
XCO,7.63,N/A,N/A,3780497
XLS,13.91,N/A,N/A,693382
EXC,30.95,N/A,N/A,6744645
EXPE,60.32,62.08,61.76,2864263
EXPD,38.57,38.67,38.54,1862084
ESRX,62.47,62.02,61.73,3593635
EXPR,21.01,N/A,N/A,840600
XOM,90.39,N/A,N/A,13182592
FFIV,70.12,69.60,69.34,1884120
FB,24.95,24.85,24.82,20521082
FCS,13.89,N/A,N/A,1297783
FDO,62.585,N/A,N/A,1757103
FAST,46.16,45.84,45.75,1736915
FII,27.44,N/A,N/A,352298
FDX,98.72,N/A,N/A,1976003
FOE,6.95,N/A,N/A,619314
FBR,11.10,N/A,N/A,2447219
FNF,23.85,N/A,N/A,2147029
FIS,43.14,N/A,N/A,1378855
FNP,22.32,N/A,N/A,939564
FSC,10.57,10.57,10.51,1004186
FITB,18.16,18.29,18.22,5988003
XLF,19.59,19.54,19.41,59725400
FNSR,16.93,16.90,16.33,1894723
FHN,11.24,N/A,N/A,3396721
FNFG,10.07,10.17,10.12,3080227
FSLR,45.33,46.30,46.26,6348503
FE,37.52,N/A,N/A,4125901
FMER,20.24,20.49,20.42,1476404
FLEX,7.80,7.82,7.77,4642487
FLIR,27.12,27.38,27.28,1237281
FLO,22.10,N/A,N/A,819786
FLS,54.35,N/A,N/A,671793
FLR,59.84,N/A,N/A,1800109
FTI,56.17,N/A,N/A,1454707
FL,35.49,N/A,N/A,2102402
F,15.61,N/A,N/A,36012492
FRX,41.05,N/A,N/A,1604315
FTNT,17.61,17.31,17.22,1390601
FIG,6.60,N/A,N/A,628242
FBHS,38.83,N/A,N/A,1464201
FWLT,21.88,21.98,21.89,1872237
FTE,N/A,N/A,N/A,0
FRAN,27.84,27.94,27.79,1150290
FCX,28.56,N/A,N/A,16036953
FSL,13.66,N/A,N/A,1016081
FIO,14.26,N/A,N/A,4541473
GME,41.89,N/A,N/A,1806053
GCI,24.72,N/A,N/A,3602883
GPS,42.00,N/A,N/A,4118416
GRMN,36.23,36.29,36.16,683920
GD,78.39,N/A,N/A,2260820
GE,23.21,N/A,N/A,35785768
GGP,19.99,N/A,N/A,2490015
GIS,48.54,N/A,N/A,2996797
GM,33.52,N/A,N/A,10311299
GNTX,22.80,23.30,21.50,640169
GNW,11.50,N/A,N/A,11649748
GGB,5.79,N/A,N/A,5970657
GIMO,27.60,N/A,N/A,258912
GILD,51.90,51.61,51.50,9442133
GSK,50.56,N/A,N/A,1245926
GNC,44.72,N/A,N/A,2708228
GOGO,14.26,14.81,N/A,256709
GFI,5.26,N/A,N/A,3869976
GG,24.98,N/A,N/A,10636878
GS,152.90,N/A,N/A,2499460
GDP,12.92,N/A,N/A,579466
