Date,Open,High,Low,Close,Volume,Adj Close
2012-10-17,40.59,40.59,37.82,38.96,1529800,25.97
2012-10-16,38.25,39.98,37.80,39.92,2196800,26.61
2012-10-15,37.02,37.98,36.26,37.79,1526000,25.19
2012-10-12,35.85,36.80,35.53,36.55,1529600,24.37
2012-10-11,35.38,35.83,35.00,35.23,965400,23.49
2012-10-10,34.00,34.90,33.88,34.65,870000,23.10
2012-10-09,34.11,35.15,33.51,33.98,1338800,22.65
2012-10-08,35.70,35.75,33.95,34.27,1570200,22.85
2012-10-05,37.01,37.29,35.81,35.89,2818600,23.93
2012-10-04,37.36,37.40,36.40,36.63,2360000,24.42
2012-10-03,34.64,36.48,34.55,36.09,2876700,24.06
2012-10-02,34.29,34.45,33.57,34.21,2933100,22.81
2012-10-01,33.78,34.45,33.32,33.86,2431500,22.57
2012-09-28,33.45,34.01,32.81,32.85,1675500,21.90
2012-09-27,33.02,34.19,32.80,33.65,2397300,22.43
2012-09-26,34.18,34.25,32.35,32.53,3688000,21.69
2012-09-25,35.79,37.39,34.09,34.14,3851400,22.76
2012-09-24,34.86,35.93,34.07,35.57,2705000,23.71
2012-09-21,35.50,35.85,34.52,35.07,4937800,23.38
2012-09-20,36.46,36.46,34.78,35.19,3752200,23.46
2012-09-19,37.92,38.05,36.25,36.71,2627200,24.47
2012-09-18,39.14,39.19,37.25,37.89,2069200,25.26
2012-09-17,39.63,40.00,38.90,39.40,1323900,26.27
2012-09-14,38.90,40.96,38.81,39.49,2157200,26.33
2012-09-13,38.22,39.49,37.63,38.60,1797000,25.73
2012-09-12,39.24,39.44,37.12,38.27,2209400,25.51
2012-09-11,38.92,40.55,38.85,39.16,1760200,26.11
2012-09-10,40.48,40.48,38.36,39.00,3022800,26.00
2012-09-07,42.81,43.25,38.33,40.69,3872400,27.13
2012-09-06,43.51,43.55,42.50,42.72,1949000,28.48
2012-09-05,43.98,44.37,42.91,43.00,2627800,28.67
2012-09-04,43.84,44.00,43.42,43.66,1704000,29.11
2012-08-31,43.68,44.00,42.57,43.71,2043800,29.14
2012-08-30,44.23,44.80,42.03,42.42,2081700,28.28
2012-08-29,43.35,44.80,43.10,44.30,2036200,29.53
2012-08-28,41.33,43.20,41.25,43.06,1336000,28.71
2012-08-27,40.88,41.25,40.45,41.19,940200,27.46
2012-08-24,41.63,41.71,40.05,40.40,1761400,26.93
2012-08-23,42.19,42.59,41.60,41.92,941100,27.95
2012-08-22,43.14,43.14,41.80,42.19,1076200,28.13
2012-08-21,42.30,43.90,41.20,42.35,2324700,28.23
2012-08-20,41.27,41.89,40.87,41.38,1505000,27.59
2012-08-17,40.77,41.40,40.48,40.82,1505800,27.21
2012-08-16,40.07,41.60,40.00,40.70,1920800,27.13
2012-08-15,39.73,40.08,39.51,40.00,1158900,26.67
2012-08-14,40.50,40.61,39.41,39.77,1620800,26.51
2012-08-13,40.11,41.75,39.53,40.00,2694900,26.67
2012-08-10,39.84,40.39,39.30,40.00,918300,26.67
2012-08-09,39.52,39.89,39.15,39.75,1660000,26.50
2012-08-08,38.87,40.43,38.51,39.34,2861600,26.23
2012-08-07,38.27,39.19,38.00,38.88,1468000,25.92
2012-08-06,38.63,39.10,37.73,38.05,1580600,25.37
2012-08-03,38.04,38.74,37.55,38.50,1860900,25.67
2012-08-02,36.91,37.97,36.27,37.03,958800,24.69
2012-08-01,38.37,38.50,33.01,37.22,7723400,24.81
2012-07-31,38.26,38.85,36.92,38.00,1974400,25.33
2012-07-30,37.46,39.52,37.35,38.48,2304200,25.65
2012-07-27,34.32,38.24,34.28,37.57,2978600,25.05
2012-07-26,32.52,34.74,32.13,34.18,2334900,22.79
2012-07-25,34.95,34.98,33.75,34.29,1124000,22.86
2012-07-24,34.40,35.24,34.10,34.55,1038400,23.03
2012-07-23,34.15,34.80,32.70,34.33,1066000,22.89
2012-07-20,34.68,35.21,34.00,34.92,1047600,23.28
2012-07-19,34.98,35.97,34.59,34.91,1460000,23.27
2012-07-18,34.08,36.24,34.08,35.78,1981800,23.85
2012-07-17,34.72,35.25,33.13,34.20,1328800,22.80
2012-07-16,33.36,35.50,33.19,34.25,2291600,22.83
2012-07-13,32.56,33.45,32.56,33.02,880000,22.01
2012-07-12,32.94,32.94,31.30,32.48,1520600,21.65
2012-07-11,33.94,34.06,31.92,32.99,1538400,21.99
2012-07-10,35.70,35.88,32.60,33.94,2413000,22.63
2012-07-09,36.42,36.83,35.24,35.45,1368000,23.63
2012-07-06,36.19,36.42,35.35,35.90,968000,23.93
2012-07-05,36.31,37.00,35.85,36.17,1727700,24.11
2012-07-03,36.04,36.50,35.26,35.57,1351000,23.71
2012-07-02,35.00,35.50,34.50,35.30,1773900,23.53
2012-06-29,34.38,34.73,33.51,34.14,1134800,22.76
2012-06-28,34.26,34.90,32.51,33.26,1292400,22.17
2012-06-27,33.26,34.98,33.26,34.21,1770900,22.81
2012-06-26,31.92,33.57,31.92,33.01,1846400,22.01
2012-06-25,31.83,32.20,30.80,31.75,897400,21.17
2012-06-22,30.67,31.74,30.26,31.67,1435200,21.11
2012-06-21,31.93,32.00,30.25,30.56,1135800,20.37
2012-06-20,31.55,31.85,30.65,31.80,1392300,21.20
2012-06-19,30.90,31.94,30.85,31.39,1882000,20.93
2012-06-18,30.18,30.86,29.55,30.55,2027600,20.37
2012-06-15,28.79,30.20,28.58,29.61,2233600,19.74
2012-06-14,27.80,28.91,27.49,28.78,6210600,19.19
2012-06-13,30.96,31.20,28.59,29.56,3237800,19.71
2012-06-12,32.00,32.49,31.50,31.91,1032800,21.27
2012-06-11,32.06,32.50,30.97,31.28,989800,20.85
2012-06-08,31.12,31.87,30.10,31.19,839700,20.79
2012-06-07,33.33,33.33,30.90,31.17,1173800,20.78
2012-06-06,31.00,32.72,30.96,32.72,1659400,21.81
2012-06-05,29.75,31.00,29.66,30.95,1350200,20.63
2012-06-04,28.85,29.99,28.85,29.86,751200,19.91
2012-06-01,29.30,29.74,28.04,28.90,1326400,19.27
2012-05-31,31.06,31.24,29.05,30.40,1771400,20.27
2012-05-30,31.47,31.74,30.89,31.08,1774000,20.72
2012-05-29,31.81,31.98,30.86,31.80,1764400,21.20
2012-05-25,30.44,31.00,30.16,30.63,1072000,20.42
2012-05-24,29.95,31.14,29.20,30.41,2471800,20.27
2012-05-23,28.08,30.53,27.55,29.89,2010800,19.93
2012-05-22,27.61,28.76,27.52,28.39,1134600,18.93
2012-05-21,25.87,27.47,25.68,27.38,956100,18.25
2012-05-18,25.89,26.60,25.56,25.70,1072800,17.13
2012-05-17,26.68,26.84,25.77,25.87,1011600,17.25
2012-05-16,27.56,27.90,26.60,26.68,852000,17.79
2012-05-15,27.62,28.06,27.20,27.42,707700,18.28
2012-05-14,27.36,28.19,27.07,27.65,865600,18.43
2012-05-11,27.21,28.39,26.84,27.45,1142800,18.30
2012-05-10,28.34,28.92,27.52,27.66,704000,18.44
2012-05-09,28.92,28.92,27.62,28.12,931500,18.75
